track_id,track_name,track_popularity,track_duration_ms,artist_name,artist_popularity,artist_followers,artist_genres,album_name,release_year
0v1x6rN6JHRapa03JElljE,Dynamite,2,199053,BTS,85.0,81189603.0,k-pop,Dynamite,2020
2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,64,237333,Ed Sheeran,88.0,122789460.0,soft pop,÷ (Deluxe),2017
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),79,214846,Calvin Harris,84.0,23078931.0,edm,One Kiss (with Dua Lipa),2018
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),75,145800,CKay,66.0,1686077.0,"afrobeats, afrobeat, afro r&b, afropop",CKay The First,2019
4y5Rc93eja2ysUeGlDNQeM,Western Canyon,31,156411,Gary O'Slide,30.0,5450.0,southern gothic,Wide Open Space,2019
5K9tfeoiztw94dyWzF39jq,moment,68,129543,Vierre Cloud,50.0,141836.0,breakcore,moment,2019
5zOAudPQIs5U8zP6LQGHmH,MALAMENTE - Cap.1: Augurio,48,149450,ROSALÍA,77.0,8585717.0,latin,MALAMENTE (Cap.1: Augurio),2018
6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,67,264746,J. Cole,82.0,27073781.0,rap,4 Your Eyez Only,2016
4fWge1SW4BxQmPG9gHhEtT,C-State,0,236600,GRLwood,48.0,516419.0,"riot grrrl, queercore",Daddy,2018
2hloaUoRonYssMuqLCBLTX,bloodline,78,216893,Ariana Grande,90.0,107389514.0,pop,"thank u, next",2019
5KqgCoUfSSqANtyVoHv6Ml,Stay A Little Longer,36,335480,Brothers Osborne,58.0,1271823.0,"country, country rock",Best Country Of The Decade: 2010-2019,2019
72geHhNU5UA2hU1QgUzXdE,Bury My Bones,8,259829,Whiskey Myers,68.0,1144333.0,"red dirt, texas country, southern rock, outlaw country, country, country rock",Whiskey Myers,2019
6ilc4vQcwMPlvAHFfsTGng,Sweet,9,292110,Cigarettes After Sex,84.0,17373704.0,dream pop,Cigarettes After Sex,2017
0QJRDx111g3E2GfM24DMyo,Addicts (feat. M Huncho),45,216480,Unknown T,53.0,367831.0,"uk drill, drill, grime, uk grime, afroswing",Rise Above Hate,2020
6CTWathupIiDs7U4InHnDA,Trip,73,213993,Ella Mai,69.0,6192505.0,r&b,Ella Mai,2018
